ADDRESSES,TRANSFORM
105 JEVESBORO-MEDFORD ROAD,"[['DIGIT'], [], ['WORDWAY']]"
105 N MAIN ST PO BOX 579,105 N MAIN ST
105 NORTH HARRISON STREET PO BOX 4546,105 NORTH HARRISON STREET
105 SCHUNNEMUNK RD #112,105 SCHUNNEMUNK RD # 112
105 SW CHURCH P O BOX 459,105 SW CHURCH P
105 W MAIN ST P O BOX 875,105 W MAIN ST P
1050 CHESTNUT STREET SUITE #2013,1050 CHESTNUT STREET SUITE # 2013
1050 E SOUTH TEMPLE,"[['DIGIT'], ['LETTER', 'DIR'], ['COMMONST', 'DIR'], ['ALPHA']]"
1050 E SOUTHERN AVE STE F-2,1050 E SOUTHERN AVE
1050 HIGHWAY 51 PO BOX 150,1050 HIGHWAY 51
1050 JOHNSTON- WILLIS DRIVE SUITE 200,"[['DIGIT'], [], ['ALPHA'], ['WORDWAY'], ['APT'], ['DIGIT']]"
1050 MARINA VILLAGE PARKWAY #203,1050 MARINA VILLAGE PARKWAY # 203
10500 EAST BERKELEY SQUARE PWY SUITE 230,10500 EAST BERKELEY SQUARE
10500 METRIC DRIVE #124,10500 METRIC DRIVE # 124
1052 W FULTON MARKET #2E,1052 W FULTON MARKET # 2E
10521 ROSEHAVEN ST BER - DO NOT MAIL,10521 ROSEHAVEN ST
1053 E BROADWAY PO BOX 524,1053 E BROADWAY
1054 31ST STREET NW SUITE 315,1054 31ST STREET NW
1055 E CENTERVILLE STATION RO,1055 E CENTERVILLE STATION
1055 SOUTH BLVD E SUITE 120,1055 SOUTH BLVD E
1055 W 7TH STREET SUITE #3000,1055 W 7TH STREET SUITE # 3000
1055 W SQUARE LAKE ROAD,1055 W SQUARE
1057 MAITLAND CENTER COMMONS B SUITE 101,1057 MAITLAND CENTER
10573 WEST PICO BLVD #610,10573 WEST PICO BLVD # 610
106 DESPATCH DR SUITE #2,106 DESPATCH DR SUITE # 2
106 E- MID SOUTH DRIVE,"[['DIGIT'], [], ['ALPHA'], ['COMMONST', 'DIR'], ['WORDWAY']]"
106 OLD JONES MILL ROAD,106 OLD JONES
106 S CLAUDE A LORD BOULEVAR,106 S CLAUDE A
106 W 56 STREET,"[['DIGIT'], ['LETTER', 'DIR'], ['DIGIT'], ['WORDWAY']]"
1060 FIRST AVENUE #400,1060 FIRST AVENUE # 400
1060 MAITLAND CENTRE COMMONS SUITE #149,1060 MAITLAND CENTRE
1061 MARKET ST #200,1061 MARKET ST # 200
10612-D PROVIDENCE ROAD SUITE,10612-D PROVIDENCE ROAD
1062 HIGHLAND COLONY PARKWAY PO BOX 16069,1062 HIGHLAND COLONY PARKWAY
10625 W NORTH AVENUE SUITE 102,"[['DIGIT'], ['LETTER', 'DIR'], ['COMMONST', 'DIR'], ['WORDWAY'], ['APT'], ['DIGIT']]"
1063 GREAT PLAIN AVENUE PO BOX 920129,1063 GREAT PLAIN AVENUE
10633 JOHN W ELLIOTT,10633 JOHN W
1064 N ST AUGUSTINE DRIVE,1064 N ST
10641 AIRPORT PULLING ROAD SU,10641 AIRPORT PULLING ROAD
1065 EAST HILLSDALE #413,1065 EAST HILLSDALE # 413
1065 EAST HILLSDALE BLVD #420,1065 EAST HILLSDALE BLVD # 420
107 MT NEBO POINTE SUITE 200,107 MT NEBO
107 N WEST STREET,"[['DIGIT'], ['LETTER', 'DIR'], ['COMMONST', 'DIR'], ['WORDWAY']]"
107 QUITMAN ST PO BOX 67,107 QUITMAN ST
107 S 2ND PO BOX 241,107 S 2ND
107 SOUTH AVE W SUITE 2A,107 SOUTH AVE W
107 ST FRANCIS STREET SUITE P O BOX 11,BOX 11
10725 ELLIS AVE #E,10725 ELLIS AVE # E
10731 I H 35 N,"[['DIGIT'], ['LETTER'], ['LETTER'], ['DIGIT'], ['LETTER', 'DIR']]"
10740 PARKRIDGE BOULEVARD STE,10740 PARKRIDGE BOULEVARD
1075 JENKINS BLVD PO BOX 7394,1075 JENKINS BLVD
10761 SOUTH ALAMEDA P O BOX 396,10761 SOUTH ALAMEDA P
10780 SANTA MONICA BOULEVARD SUITE 470,"[['DIGIT'], ['SP_PRE', 'PRE'], ['ALPHA'], ['WORDWAY'], ['APT'], ['DIGIT']]"
1079 W ROUND GROVE RD #300-313,1079 W ROUND GROVE RD # 300-313
108 NORTH PLAINS INDUSTRIAL RO,108 NORTH PLAINS INDUSTRIAL
108 W RESACA DR # B-9,108 W RESACA DR
108-A PARK PLACE COURT,"[['DIGDASHAL'], ['WORDWAY', 'COMMONST', 'GFEATURE'], ['WORDWAY'], ['WORDWAY']]"
1080 POST AND PADDOCK,1080 POST AND
10800 LYNDALE AVE SO SUITE 381 VALLEY OFFICE PARK,381 VALLEY OFFICE PARK
10801-2 N MOPAC EXPRESSWAY SUITE 150,10801-2 N MOPAC
10802 EXECUTIVE CENTER DRIVE BENTON BUILDING SUITE 300,10802 EXECUTIVE CENTER DRIVE
10811 S WESTVIEW CIRCLE DRIVE SUITE 100 BLDG C,10811 S WESTVIEW CIRCLE DRIVE SUITE 100
10816 TOWN CENTER BLVD #232,10816 TOWN CENTER BLVD # 232
10821 RED RUN BLVD SUITE BOX 1438,10821 RED RUN BLVD
10824 N 142ND STREET PO BOX 307,10824 N 142ND STREET
10851 RHODE ISLAND AVENUE SOUT,10851 RHODE ISLAND AVENUE
1086 TEANECK ROAD SUITE #4C,1086 TEANECK ROAD
10866 WILSHIRE BLVD SUITE #970,10866 WILSHIRE BLVD SUITE # 970
10875 DOVER STREET #200,10875 DOVER STREET # 200
10880 WILSHIRE BLVD #800,10880 WILSHIRE BLVD # 800
10885 NORTHEAST 4TH STREET STE 400,10885 NORTHEAST
10888 SE MAIN ST #200,10888 SE MAIN ST # 200
1089 THIRD AVE S W STE 103,1089 THIRD AVE S W
109 2ND AVENUE EAST PO BOC 358,109 2ND AVENUE EAST
109 6TH AVE SE STE 400 #4178,109 6TH AVE SE STE 400
109 A SOUTH STATE STREET,"[['DIGIT'], ['LETTER', 'COMMONST'], ['COMMONST', 'DIR'], ['ALPHA'], ['WORDWAY']]"
109 ROUTE 101-A,"[['DIGIT'], ['WORDWAY'], ['DIGDASHAL']]"
109 SOUTH FRONT STREET P O BOX 590,109 SOUTH FRONT STREET P
109 W VIRGINIA SUITE 101 PO BOX 3075,109 W VIRGINIA SUITE 101
1090 KING GEORGES POST ROAD SUITE 505,1090 KING GEORGES
1090 KING GEORGES POST ROAD SUITE 804,1090 KING GEORGES
10908 HWY 72-221 EAST,"[['DIGIT'], ['WAY'], ['DIGDASH'], ['DIR']]"
10913 S RIVER FRONT PARKWAY #100,10913 S RIVER FRONT PARKWAY # 100
10913 SOUTH RIVER FRONT PWKY SUITE 200,10913 SOUTH RIVER FRONT
10920 VIA FRONTERA #410,10920 VIA FRONTERA # 410
10936 N PORT WASHINGTON RD #179,10936 N PORT WASHINGTON RD # 179
10941 RAVEN RIDGE ROAD #103,10941 RAVEN RIDGE ROAD # 103
10945 STATE BRIDGE RD #401-336,10945 STATE BRIDGE RD # 401-336
1097 HIGHWAY 101 SOUTH SUITE D-3,1097 HIGHWAY 101 SOUTH
10975 BENSON DRIVE #400,10975 BENSON DRIVE # 400
1098 WEST BALTIMORE PIKE OUT PATIENT PAVILION STE 3302,1098 WEST BALTIMORE PIKE
1099 W LA CADENA,"[['DIGIT'], ['LETTER', 'DIR'], ['SP_ARTI'], ['ALPHA']]"
11 A STREET,"[['DIGIT'], ['LETTER', 'COMMONST'], ['WORDWAY']]"
11 CIVIC CENTER PLAZA #310,11 CIVIC CENTER PLAZA # 310
11 KONOMAC ST PO BOX 771,11 KONOMAC ST
11 N CARLISLE ST SUITE 102 PO BOX 189,11 N CARLISLE ST SUITE 102
11 PARK PLACE 15TH FLOOR SUITE 1508,11 PARK PLACE 15TH FLOOR
11 SMOKE RISE LAND,11 SMOKE RISE
11 ST ALBANS AVENUE SUITE 102,"[['DIGIT'], ['WAY', 'PRE'], ['ALPHA'], ['WORDWAY'], ['APT'], ['DIGIT']]"
11 SUNFLOWER AVENUE #2,11 SUNFLOWER AVENUE # 2
11 SUNSET BLVD PO BOX 727,11 SUNSET BLVD
11 TIMES SQUARE 16TH FLOOR S,11 TIMES SQUARE 16TH FLOOR
11 TIMES SQUARE 16TH FLOOR SUITE F,11 TIMES SQUARE 16TH FLOOR
110 29TH AVENUE NORTH SUITE 3,110 29TH AVENUE NORTH
110 BI-COUNTY BOULEVARD SUITE 121,"[['DIGIT'], [], ['WORDWAY'], ['APT'], ['DIGIT']]"
110 CONNOR AVENUE PO BOX 134,110 CONNOR AVENUE
110 JOHN ROBERT THOMAS DRIVE,110 JOHN ROBERT
110 N 5TH STREET #550,110 N 5TH STREET # 550
110 N MAIN STREET #165,110 N MAIN STREET # 165
110 S CENTENNIAL DRIRVE STE,110 S CENTENNIAL DRIRVE
110 S KEOKUK WASHINGTON RD PO BOX 288 KEOTA,110 S KEOKUK WASHINGTON RD
110 S PACA ST 6TH FLOOR SUITE 200,110 S PACA ST 6TH FLOOR
110 TYSON BLVD STE #200,110 TYSON BLVD STE # 200
110 W COURT STREET PO BOX 1090,110 W COURT
110 WEST COURT STREET,110 WEST COURT
1100 13TH STREET NW THIRD FLOOR,1100 13TH STREET NW
1100 15TH STREET NW 11TH FLOOR,1100 15TH STREET NW
1100 17TH STREET NW SUITE 1000,1100 17TH STREET NW
1100 17TH STREET NW SUITE 1201,1100 17TH STREET NW
1100 7 MILE ROAD,7 MILE ROAD
1100 CIRCLE 75 PARKWAY SUITE 140,1100 CIRCLE 75
1100 COMMERCE STREET #745,1100 COMMERCE STREET # 745
1100 CONNECTICUT AVE NW #1250,1100 CONNECTICUT AVE NW # 1250
1100 CONNECTICUT AVE NW #300,1100 CONNECTICUT AVE NW # 300
1100 CRESCENT GREEN SUITE 115 PO BOX 1288,1100 CRESCENT GREEN SUITE 115
1100 EAST PARK AVENUE,1100 EAST PARK
1100 EAST PARK DRIVE SUITE 30,1100 EAST PARK
1100 INDUSTRIAL ROAD #3,1100 INDUSTRIAL ROAD # 3
1100 NEW JERSEY AVENUE SE SUITE 200,1100 NEW JERSEY AVENUE SE
1100 NEW JERSEY AVENUE SE SUITE 910,1100 NEW JERSEY AVENUE SE
1100 NEW YORK AVE NW SUITE 340 WEST TOWER,1100 NEW YORK AVE NW SUITE 340
1100 NORTH AMERICAN BUILDING 121 SOUTH BROAD STREET,1100 NORTH AMERICAN BUILDING 121 SOUTH
1100 PARK AVE #2,1100 PARK AVE # 2
1100 PARK CENTRAL BLVD SOUTH SUITE 1400,1100 PARK CENTRAL BLVD SOUTH
1101 14TH STREET NW SUITE #600,1101 14TH STREET NW
1101 14TH STREET NW SUITE 350,1101 14TH STREET NW
1101 14TH STREET NW SUITE 600,1101 14TH STREET NW
1101 17TH STREET NW STE 1220,1101 17TH STREET NW
1101 30TH STREET NW #150,1101 30TH STREET NW
1101 30TH STREET NW SUITE 200,1101 30TH STREET NW
1101 ARROW POINT DRIVE BUILDING 4 SUITE 401,1101 ARROW POINT DRIVE
1101 KENNEDY BOULEVARD P O BOX 572,1101 KENNEDY BOULEVARD P
1101 MARTIN LUTHER KING JR D,1101 MARTIN LUTHER
1101 ST GREGORY STREET,"[['DIGIT'], ['WAY', 'PRE'], ['ALPHA'], ['WORDWAY']]"
1101 ST PAUL STREET SUITE 305,"[['DIGIT'], ['WAY', 'PRE'], ['ALPHA'], ['WORDWAY'], ['APT'], ['DIGIT']]"
1102 RARITAN AVENUE PO BOX 1450,1102 RARITAN AVENUE
1106 WEST15TH STREET,"[['DIGIT'], ['ALNUM'], ['WORDWAY']]"
1109 CLUB VILLAGE DRIVE PO BOX 7068,1109 CLUB VILLAGE DRIVE
11098 N MILHON WEST DR,11098 N MILHON WEST
111 3RD AVENUE SOUTH SUITE 400,111 3RD AVENUE SOUTH
111 CORPORATE DRIVE #200,111 CORPORATE DRIVE # 200
111 E BUSSE AVE SUITE 500 A,111 E BUSSE AVE SUITE 500
111 EAST 14TH STREET #334,111 EAST 14TH STREET # 334
111 EAST WISCONSIN AVENUE SUI,111 EAST WISCONSIN AVENUE
111 JOHN STREET #2,111 JOHN STREET # 2
111 MONUMENT CIRCLE #1950,111 MONUMENT CIRCLE # 1950
111 N SEPULVEDA BLVD SUITE,111 N SEPULVEDA BLVD
111 QUEEN ANNE AVENUE NORTH S,111 QUEEN ANNE AVENUE NORTH
111 SOLEDAD #1300,111 SOLEDAD # 1300
111 SOUTH INDEPENDENCE MALL EA SUITE 400,111 SOUTH INDEPENDENCE MALL
111 WEST LOOP SOUTH SUITE 160,111 WEST LOOP SOUTH
111 WEST ST JOHN STREET SUITE #800,111 WEST ST
1110 OPAL COURT SUITE #1,1110 OPAL COURT SUITE # 1
11101 HEFNER POINTE DR #104,11101 HEFNER POINTE DR # 104
1111 19TH STREET NW SUITE 402,1111 19TH STREET NW
1111 ADAMS AVE PO BOX 9128,1111 ADAMS AVE
1111 BAGBY STREET #2650,1111 BAGBY STREET # 2650
1111 BERING DRIVE #204,1111 BERING DRIVE # 204
1111 BRICKELL AVE 10TH FLOOR SUITE 1000,1111 BRICKELL AVE 10TH FLOOR
1111 BRICKELL AVE 18TH FLOOR STE 1800,1111 BRICKELL AVE 18TH FLOOR
1111 BROADWAY STREET 24TH FLO,1111 BROADWAY STREET
1111 E KATELLA AVENUE #120,1111 E KATELLA AVENUE # 120
1111 E TOUHY AVE #218,1111 E TOUHY AVE # 218
1111 JUPITER ROAD #204D,1111 JUPITER ROAD # 204D
1111 KANE CONCOURSE STE 320,1111 KANE
1111 MEDICAL CENTER BLVD SUI,1111 MEDICAL CENTER BLVD
1111 N LOOP WEST #400,1111 N LOOP WEST
1111 N NORTHSORE DRIVE SUITE N-425,1111 N NORTHSORE DRIVE
1111 N PLAZA DRIVE,1111 N PLAZA
1111 N WESTSHORE BLVD #101,1111 N WESTSHORE BLVD # 101
1111 NE FLANDERS STREET SUITE,1111 NE FLANDERS STREET
1111 NORTHSHORE DRIVE LANDMARK TOWER N SUITE N-290,1111 NORTHSHORE DRIVE LANDMARK
1111 PIPER JAFFRAY PLAZA 444 CEDAR STREET,1111 PIPER JAFFRAY PLAZA 444
11111 SANTA MONICA BLVD #300,11111 SANTA MONICA BLVD # 300
11111 SANTA MONICA BLVD SUITE,11111 SANTA MONICA BLVD
11111 SANTA MONICA BOULEVARD #,"[['DIGIT'], ['SP_PRE', 'PRE'], ['ALPHA'], ['WORDWAY'], ['POUND']]"
1112 16TH STREET NW SUITE 300,1112 16TH STREET NW
1113 SHERMAN STREET PO BOX 406,1113 SHERMAN STREET
11130 SUNRISE VALLEY DRIVE #20,11130 SUNRISE VALLEY DRIVE # 20
1114 FAIRFAX PIKE BOX 12,1114 FAIRFAX PIKE
11140 ROCKVILLE PIKE #340,11140 ROCKVILLE PIKE # 340
1115 VICKSBURG LANE #19,1115 VICKSBURG LANE # 19
11150 SANTA MONICA BOULEVARD SUITE 1200,"[['DIGIT'], ['SP_PRE', 'PRE'], ['ALPHA'], ['WORDWAY'], ['APT'], ['DIGIT']]"
1117 PERIMETER CENTER WEST SUITE N316,1117 PERIMETER CENTER WEST
1117 PERIMETER CENTER WEST SUITE W101,1117 PERIMETER CENTER WEST
1117 PERIMETER CENTER WEST SUITE W212,1117 PERIMETER CENTER WEST
1118 STATE ROUTE 9 PO BOX 782,1118 STATE ROUTE 9
1119 S SANTA FE STREET,"[['DIGIT'], ['LETTER', 'DIR'], ['SP_PRE', 'PRE'], ['ALPHA'], ['WORDWAY']]"
112 - 3RD STREET WEST SUITE 300,"[['DIGIT'], [], ['COMMONST', 'NTH'], ['WORDWAY'], ['COMMONST', 'DIR'], ['APT'], ['DIGIT']]"
112 MARKET STREET P O BOX 380,112 MARKET STREET P
112 MEDLAR FIELD AT LUBRANO PA,112 MEDLAR FIELD
112 N DEWEY STREET PO BOX 38,112 N DEWEY STREET
112 SALUDA RIDGE CT #100,112 SALUDA RIDGE CT # 100
112 W MAIN ST PO BOX 460,112 W MAIN ST
112 W MAIN STREET PO BOX 460,112 W MAIN STREET
112 W PARK LANE,112 W PARK
112 WELCH HALL 850 W CROSS ST,112 WELCH HALL 850 W
112 WEST CENTER P O BOX 8310,112 WEST CENTER P
1120 20TH ST NW SOUTH TOWER ST,1120 20TH ST NW SOUTH
1120 CAPITAL OF TEXAS HIGHWAY BUILDING 3 SUITE 300,1120 CAPITAL OF TEXAS
1120 E MAIN STREET PO BOX 8,1120 E MAIN STREET
1120 UNIVERSITY AVENUE PO BOX 727,1120 UNIVERSITY AVENUE
11208 WAPLES MILL RD #109,11208 WAPLES MILL RD # 109
1121 14TH STREET NW STE 1010,1121 14TH STREET NW
1121 JOHNSON FERRY ROAD SUITE,1121 JOHNSON FERRY ROAD
1121 L STREET STE 1060,"[['DIGIT'], ['LETTER'], ['WORDWAY'], ['APT'], ['DIGIT']]"
1121 OLIVETTE EXECUTIVE PARKWA SUITE 100,1121 OLIVETTE EXECUTIVE
11211 CANTRELL RD #100,11211 CANTRELL RD # 100
11211 PROSPERITY FARMS RD SUI,11211 PROSPERITY FARMS RD
1123 WEST WASHINGTON BLVD #2,1123 WEST WASHINGTON BLVD # 2
11241 WILLOWS ROAD BUILDING C STE 210,11241 WILLOWS ROAD BUILDING C
1125 NORTHWEST 12TH AVENUE # 309,1125 NORTHWEST
11250 WAPLES MILL ROAD SOUTH TOWER SUITE 220,11250 WAPLES MILL ROAD SOUTH
11255 KIRKLAND WAY SUITE #300,11255 KIRKLAND WAY SUITE # 300
1126 16TH STREET NW SUITE 270,1126 16TH STREET NW
1126 16TH STREET NW SUITE 350,1126 16TH STREET NW
1127 SENOIA RD PO BOX 459,1127 SENOIA RD
11285 ELKINS ROAD STE F-3,11285 ELKINS ROAD
1129 20TH STREET NW SUITE # 600,1129 20TH STREET NW
1129 20TH STREET NW SUITE 600,1129 20TH STREET NW
1129 WEST GOVERNOR ROAD PO BOX 797,1129 WEST GOVERNOR ROAD
113 CORPORATE PARK E DRIVE,113 CORPORATE PARK E
113 CORPORATE PARK EAST DRIVE,113 CORPORATE PARK EAST
113 S WEST ST PO BOX 25708,113 S WEST ST
113 W BLACKHAWK AVENUE PO BOX 277,113 W BLACKHAWK AVENUE
113 WEST NORTH STREET,"[['DIGIT'], ['COMMONST', 'DIR'], ['COMMONST', 'DIR'], ['WORDWAY']]"
1130 NORTH NIMITZ HWY #A265,1130 NORTH NIMITZ HWY # A265
11305 FOUR POINTS DR BUILDING 2 SUITE 200,11305 FOUR POINTS DR
11307 FM 1960 RD W #100,11307 FM 1960 RD W # 100
11310 MONTGOMERY RD #216,11310 MONTGOMERY RD # 216
11310 OTTER CREEK EAST BLVD,11310 OTTER CREEK EAST
11325 NORTH COMMUNITY HOUSE RO,11325 NORTH COMMUNITY HOUSE
1133 15TH STREET NW SUITE 350,1133 15TH STREET NW
1133 19TH STREET NW 9TH FLOOR,1133 19TH STREET NW
1133 19TH STREET NW SUITE 1000,1133 19TH STREET NW
1133 WEST MORSE BLVD #100,1133 WEST MORSE BLVD # 100
11350 RANDOM HILLS RD #600,11350 RANDOM HILLS RD # 600
1137 MAIN ST PO DRAWER F,1137 MAIN ST
11370 66TH STREET NORTH SUITE 132,11370 66TH STREET NORTH
114 EDINBURGH SOUTH DRIVE SUITE 104,114 EDINBURGH SOUTH
114 MAIN STREET PO BOX 650,114 MAIN STREET
114 S 20TH AVENUE W SUITE B,114 S 20TH AVENUE W
1140 AVENUE OF THE AMERICAS ARISTEIA CAPITAL 11TH FLOOR,1140 AVENUE OF THE AMERICAS
1140 KANE CONCOURSE 3RD FLOOR,1140 KANE
1140 SW 11TH AVESUITE 300,1140 SW 11TH
11400 GROOMS ROAD SUITE A-112,11400 GROOMS ROAD
11400 W OLYMPIC BLVD #1450,11400 W OLYMPIC BLVD # 1450
11400 W OLYMPIC BLVD 16TH F,11400 W OLYMPIC BLVD
11400 WEST OLYMPIC BLVD #860,11400 WEST OLYMPIC BLVD # 860
11411 BROOKSHIRE AVENUE #107,11411 BROOKSHIRE AVENUE # 107
11422 MIRACLE HILLS DR #500,11422 MIRACLE HILLS DR # 500
11440 ISAAC NEWTON SQUARE NORT #210,11440 ISAAC NEWTON SQUARE
11450 COMPAQ CENTER DRIVE WEST #210,11450 COMPAQ CENTER DRIVE WEST
11467 HUEBNER ROAD #225,11467 HUEBNER ROAD # 225
1149 S HILL STREET SUITE 700,1149 S HILL
1149 WEST HWY 44 PO BOX 350,1149 WEST HWY 44
115 6TH STREET SO,115 6TH STREET
115 EAST M L KING JR DRIVE,"[['DIGIT'], ['DIR'], ['LETTER'], ['LETTER'], ['ALPHA'], ['ALPHA'], ['WORDWAY']]"
115 EL PRADO DRIVE W SUITE 3,115 EL PRADO DRIVE W
115 N SAINT ASAPH STREET,"[['DIGIT'], ['LETTER', 'DIR'], ['PRE'], ['ALPHA'], ['WORDWAY']]"
115 NORTH WELLINGTON STE 200 PO BOX 876,115 NORTH WELLINGTON STE 200
115 THIRD STREET SE STE 500 PO BOX 2107,115 THIRD STREET SE STE 500
115 US HWY 46 WEST SUITE D28,115 US HWY 46 WEST
1150 18TH ST NW #910,1150 18TH ST NW # 910
1150 CLEAR LAKE CITY BLVD #20,1150 CLEAR LAKE CITY BLVD # 20
1150 G PITTSFORD-VICTOR ROAD 2ND FLOOR,"[['DIGIT'], ['LETTER'], [], ['WORDWAY'], ['COMMONST', 'NTH'], ['APT']]"
1150 GLENLIVET DR SUITE C-36,1150 GLENLIVET DR
1150 S BASCOM AVE #7A,1150 S BASCOM AVE # 7A
11500 METRIC BLVD BUILDING M,11500 METRIC BLVD
11500 S SAM HOUSTON PKWY WES,11500 S SAM HOUSTON PKWY
11500 W OLYMPIC BOULEVARD SU,11500 W OLYMPIC BOULEVARD
11501 EL CLAIR RANCH ROAD,11501 EL CLAIR RANCH
1152 15TH STREET NW SUITE 400,1152 15TH STREET NW
1152 15TH STREET NW SUITE 910,1152 15TH STREET NW
1152 15TH STREET NW SUITE 950,1152 15TH STREET NW
11520 ST CHARLES ROCK ROAD,"[['DIGIT'], ['WAY', 'PRE'], ['ALPHA'], ['ALPHA', 'GFEATURE'], ['WORDWAY']]"
11523 PALMBRUSH TR #137,11523 PALMBRUSH TR # 137
1155 15TH NW SUITE 600,"[['DIGIT'], ['NTH'], ['DIR'], ['APT'], ['DIGIT']]"
1155 15TH STREET NW SUITE 550,1155 15TH STREET NW
1155 30TH STREET NW SUITE 300,1155 30TH STREET NW
1156 15TH STREET NW SUITE 1250,1156 15TH STREET NW
11560 GREAT OAKS WAY BUILDING B; SUITE 200,11560 GREAT OAKS WAY
11582 AND ONE HALF AMBOY AVE,11582 AND ONE
1159 ELECTRIC AVENUE UNIT A PO BOX 298,1159 ELECTRIC AVENUE UNIT A
116 NEW MONTGOMERY ST #810,116 NEW MONTGOMERY ST # 810
116 NEW MONTGOMERY STREET SUI,116 NEW MONTGOMERY STREET
116 PARKER STREET DEXTER INDUSTRIAL PARK,116 PARKER STREET DEXTER
116 SEVEN MILE RIDGE ROAD,116 SEVEN MILE
116 W SUMNER STREET PO BOX 2,116 W SUMNER STREET
116-18 EAST 169TH STREET,"[['DIGDASH'], ['DIR'], ['NTH'], ['WORDWAY']]"
116-K EDWARDS FERRY RD NE SUITE 102,"[['DIGDASHAL'], ['ALPHA'], ['ALPHA'], ['WAY'], ['DIR'], ['APT'], ['DIGIT']]"
1160 CORRY ST PO BOX 242,1160 CORRY ST
1160 INDUSTRIAL RD #1,1160 INDUSTRIAL RD # 1
1161 EAST CLARK ROAD SUITES 124-128,1161 EAST CLARK ROAD SUITES
1161 SAN ANTONIO ROAD,"[['DIGIT'], ['SP_PRE', 'PRE'], ['ALPHA'], ['WORDWAY']]"
1164 BISHOP STREET SUITE 650 FINANCE FACTORS CENTER,1164 BISHOP STREET SUITE 650
11645 BISCAYNE BLVD #207,11645 BISCAYNE BLVD # 207
1166 K STREET,"[['DIGIT'], ['LETTER'], ['WORDWAY']]"
11661 SAN VICIENTE BLVD SUITE,11661 SAN VICIENTE BLVD
117 E 5TH ST SECOND FLOOR,117 E 5TH ST
117 NORTH SECOND STREET PO BOX 16,117 NORTH SECOND STREET
117 PLEASANT STREET DOLLOFF BUILDING,117 PLEASANT STREET DOLLOFF
117 WEST 28TH ST 3RD FLR,117 WEST 28TH ST
117 ZIEGLER ROAD P O BOX 328,117 ZIEGLER ROAD P
1170 KANE CONCOURSE SUITE 300,1170 KANE
11701 BEE CAVES ROAD RESACA PLAZA STE 214,11701 BEE CAVES ROAD
11711 E 8 MILE ROAD,8 MILE ROAD
11720 NORTH CREEK PARKWAY N SUITE 400,11720 NORTH CREEK
11721 WHITTIER BLVD #509,11721 WHITTIER BLVD # 509
1174 KINGSTOWN ROAD #101,1174 KINGSTOWN ROAD # 101
1175 N E 125TH STREET SUITE 101,"[['DIGIT'], ['LETTER', 'DIR'], ['LETTER', 'DIR'], ['NTH'], ['WORDWAY'], ['APT'], ['DIGIT']]"
1175 NE 125TH STREET SUITE# 512,1175 NE 125TH STREET SUITE # 512
1175 NORTHMEADOW PKWY #140,1175 NORTHMEADOW PKWY # 140
1175 PEACHTREE STREET NE 100 COLONY SQUARE - SUITE 400,1175 PEACHTREE STREET NE 100
11755 WILSHIRE BLVD 15TH FLO,11755 WILSHIRE BLVD
11782 CLINTON-TECUMSEH ROAD POBOX 186,"[['DIGIT'], [], ['WORDWAY'], ['ALPHA'], ['DIGIT']]"
118 EAST FRONT PO BOX 372,118 EAST FRONT
1180 N MOUNTAIN SPRINGS PARKW,1180 N MOUNTAIN SPRINGS
1180 SPRING CENTRE SOUTH BLVD SUITE 102,1180 SPRING CENTRE SOUTH
1180 WEST PEACHTREE STREET NW STE 700,1180 WEST PEACHTREE STREET NW
11800 SUNRISE VALLEY DRIVE; SU,11800 SUNRISE VALLEY DRIVE
1181 CADILLAC COURT #238,1181 CADILLAC COURT # 238
11811 I-10 EAST SUITE 630,"[['DIGIT'], ['ALDASHDIG'], ['DIR'], ['APT'], ['DIGIT']]"
11811 P STREET,"[['DIGIT'], ['LETTER'], ['WORDWAY']]"
11812 SAN VINCENTE BOULEVARD SUITE 400,"[['DIGIT'], ['SP_PRE', 'PRE'], ['ALPHA'], ['WORDWAY'], ['APT'], ['DIGIT']]"
11845 W OLYMPIC BLVD #1250,11845 W OLYMPIC BLVD # 1250
11845 W OLYMPIC BLVD #930,11845 W OLYMPIC BLVD # 930
11845 W OLYMPIC BOULEVARD #103,11845 W OLYMPIC BOULEVARD # 103
11850 WAYNE ROAD PO BOX 74187,11850 WAYNE ROAD
11856 BALBOA BLVD #390,11856 BALBOA BLVD # 390
1187 THORN RUN EXTENSION SUITE 340,1187 THORN RUN
11890 SUNRISE VALLEY DRIVE #554,11890 SUNRISE VALLEY DRIVE # 554
119 14TH STREET NW SUITE 300,119 14TH STREET NW
119 AVENUE AT THE COMMONS,119 AVENUE AT
119 WHITE OAK LN PO BOX 1002,119 WHITE OAK LN
11900 OLYMPIC BOULEVARD #800,11900 OLYMPIC BOULEVARD # 800
11911 FREEDOM DRIVE SUITE 780 ONE FOUNTAIN SQUARE,11911 FREEDOM DRIVE SUITE 780
11911 NORTH CREEK PARKWAY SOUTH,11911 NORTH CREEK
1194 W SOUTH JORDAN PKWY STE B&C,1194 W SOUTH JORDAN PKWY STE B
11943 EL CAMINO REAL #210,11943 EL CAMINO REAL # 210
1196 POPLAR VIEW LANE SOUTH SUITE 1,1196 POPLAR VIEW LANE SOUTH
1197-A SOUTH COLUMBIA ROAD,"[['DIGDASHAL'], ['COMMONST', 'DIR'], ['ALPHA'], ['WORDWAY']]"
11984 WEST 805 ROAD,"[['DIGIT'], ['COMMONST', 'DIR'], ['DIGIT'], ['WORDWAY']]"
